,Grupo de edad,Sexo,Fecha,Contagios
2465,00 - 04 años,F,2020-09-07,4407
2466,05 - 09 años,F,2020-09-07,3876
2467,10 - 14 años,F,2020-09-07,4719
2468,15 - 19 años,F,2020-09-07,8604
2469,20 - 24 años,F,2020-09-07,18787
2470,25 - 29 años,F,2020-09-07,28533
2471,30 - 34 años,F,2020-09-07,26623
2472,35 - 39 años,F,2020-09-07,21171
2473,40 - 44 años,F,2020-09-07,17992
2474,45 - 49 años,F,2020-09-07,18620
2475,50 - 54 años,F,2020-09-07,17799
2476,55 - 59 años,F,2020-09-07,16297
2477,60 - 64 años,F,2020-09-07,11696
2478,65 - 69 años,F,2020-09-07,7818
2479,70 - 74 años,F,2020-09-07,5859
2480,75 - 79 años,F,2020-09-07,4557
2481,80 y más años,F,2020-09-07,7925
2482,00 - 04 años,M,2020-09-11,4915
2483,05 - 09 años,M,2020-09-11,4122
2484,10 - 14 años,M,2020-09-11,4646
2485,15 - 19 años,M,2020-09-11,7743
2486,20 - 24 años,M,2020-09-11,18819
2487,25 - 29 años,M,2020-09-11,29248
2488,30 - 34 años,M,2020-09-11,29658
2489,35 - 39 años,M,2020-09-11,24267
2490,40 - 44 años,M,2020-09-11,20524
2491,45 - 49 años,M,2020-09-11,20108
2492,50 - 54 años,M,2020-09-11,19176
2493,55 - 59 años,M,2020-09-11,18028
2494,60 - 64 años,M,2020-09-11,13578
2495,65 - 69 años,M,2020-09-11,8648
2496,70 - 74 años,M,2020-09-11,6202
2497,75 - 79 años,M,2020-09-11,4269
2498,80 y más años,M,2020-09-11,5196
2499,00 - 04 años,F,2020-09-11,4525
2500,05 - 09 años,F,2020-09-11,3990
2501,10 - 14 años,F,2020-09-11,4862
2502,15 - 19 años,F,2020-09-11,8818
2503,20 - 24 años,F,2020-09-11,19161
2504,25 - 29 años,F,2020-09-11,29024
2505,30 - 34 años,F,2020-09-11,27075
2506,35 - 39 años,F,2020-09-11,21491
2507,40 - 44 años,F,2020-09-11,18286
2508,45 - 49 años,F,2020-09-11,18920
2509,50 - 54 años,F,2020-09-11,18081
2510,55 - 59 años,F,2020-09-11,16601
2511,60 - 64 años,F,2020-09-11,11894
2512,65 - 69 años,F,2020-09-11,7966
2513,70 - 74 años,F,2020-09-11,5988
2514,75 - 79 años,F,2020-09-11,4635
2515,80 y más años,F,2020-09-11,8080
2516,00 - 04 años,M,2020-09-14,5001
2517,05 - 09 años,M,2020-09-14,4226
2518,10 - 14 años,M,2020-09-14,4775
2519,15 - 19 años,M,2020-09-14,7899
2520,20 - 24 años,M,2020-09-14,19146
2521,25 - 29 años,M,2020-09-14,29664
2522,30 - 34 años,M,2020-09-14,30051
2523,35 - 39 años,M,2020-09-14,24586
2524,40 - 44 años,M,2020-09-14,20795
2525,45 - 49 años,M,2020-09-14,20393
2526,50 - 54 años,M,2020-09-14,19441
2527,55 - 59 años,M,2020-09-14,18250
2528,60 - 64 años,M,2020-09-14,13754
2529,65 - 69 años,M,2020-09-14,8785
2530,70 - 74 años,M,2020-09-14,6289
2531,75 - 79 años,M,2020-09-14,4325
2532,80 y más años,M,2020-09-14,5265
2533,00 - 04 años,F,2020-09-14,4590
2534,05 - 09 años,F,2020-09-14,4072
2535,10 - 14 años,F,2020-09-14,4990
2536,15 - 19 años,F,2020-09-14,8975
2537,20 - 24 años,F,2020-09-14,19452
2538,25 - 29 años,F,2020-09-14,29379
2539,30 - 34 años,F,2020-09-14,27462
2540,35 - 39 años,F,2020-09-14,21815
2541,40 - 44 años,F,2020-09-14,18564
2542,45 - 49 años,F,2020-09-14,19166
2543,50 - 54 años,F,2020-09-14,18321
2544,55 - 59 años,F,2020-09-14,16832
2545,60 - 64 años,F,2020-09-14,12086
2546,65 - 69 años,F,2020-09-14,8084
2547,70 - 74 años,F,2020-09-14,6076
2548,75 - 79 años,F,2020-09-14,4689
2549,80 y más años,F,2020-09-14,8208
2550,00 - 04 años,M,2020-09-18,5120
2551,05 - 09 años,M,2020-09-18,4341
2552,10 - 14 años,M,2020-09-18,4922
2553,15 - 19 años,M,2020-09-18,8066
2554,20 - 24 años,M,2020-09-18,19474
2555,25 - 29 años,M,2020-09-18,30089
2556,30 - 34 años,M,2020-09-18,30475
2557,35 - 39 años,M,2020-09-18,24938
2558,40 - 44 años,M,2020-09-18,21103
2559,45 - 49 años,M,2020-09-18,20670
2560,50 - 54 años,M,2020-09-18,19709
2561,55 - 59 años,M,2020-09-18,18526
2562,60 - 64 años,M,2020-09-18,13952
2563,65 - 69 años,M,2020-09-18,8924
2564,70 - 74 años,M,2020-09-18,6394
2565,75 - 79 años,M,2020-09-18,4415
2566,80 y más años,M,2020-09-18,5344
2567,00 - 04 años,F,2020-09-18,4722
2568,05 - 09 años,F,2020-09-18,4177
2569,10 - 14 años,F,2020-09-18,5142
2570,15 - 19 años,F,2020-09-18,9172
2571,20 - 24 años,F,2020-09-18,19822
2572,25 - 29 años,F,2020-09-18,29818
2573,30 - 34 años,F,2020-09-18,27872
2574,35 - 39 años,F,2020-09-18,22135
2575,40 - 44 años,F,2020-09-18,18812
2576,45 - 49 años,F,2020-09-18,19459
2577,50 - 54 años,F,2020-09-18,18629
2578,55 - 59 años,F,2020-09-18,17094
2579,60 - 64 años,F,2020-09-18,12305
2580,65 - 69 años,F,2020-09-18,8238
2581,70 - 74 años,F,2020-09-18,6173
2582,75 - 79 años,F,2020-09-18,4763
2583,80 y más años,F,2020-09-18,8341
2584,00 - 04 años,M,2020-09-21,5193
2585,05 - 09 años,M,2020-09-21,4403
2586,10 - 14 años,M,2020-09-21,5023
2587,15 - 19 años,M,2020-09-21,8186
2588,20 - 24 años,M,2020-09-21,19664
2589,25 - 29 años,M,2020-09-21,30372
2590,30 - 34 años,M,2020-09-21,30717
2591,35 - 39 años,M,2020-09-21,25160
2592,40 - 44 años,M,2020-09-21,21267
2593,45 - 49 años,M,2020-09-21,20872
2594,50 - 54 años,M,2020-09-21,19894
2595,55 - 59 años,M,2020-09-21,18707
2596,60 - 64 años,M,2020-09-21,14107
2597,65 - 69 años,M,2020-09-21,9018
2598,70 - 74 años,M,2020-09-21,6483
2599,75 - 79 años,M,2020-09-21,4478
2600,80 y más años,M,2020-09-21,5393
2601,00 - 04 años,F,2020-09-21,4791
2602,05 - 09 años,F,2020-09-21,4260
2603,10 - 14 años,F,2020-09-21,5227
2604,15 - 19 años,F,2020-09-21,9334
2605,20 - 24 años,F,2020-09-21,20065
2606,25 - 29 años,F,2020-09-21,30114
2607,30 - 34 años,F,2020-09-21,28163
2608,35 - 39 años,F,2020-09-21,22340
2609,40 - 44 años,F,2020-09-21,19012
2610,45 - 49 años,F,2020-09-21,19643
2611,50 - 54 años,F,2020-09-21,18803
2612,55 - 59 años,F,2020-09-21,17261
2613,60 - 64 años,F,2020-09-21,12433
2614,65 - 69 años,F,2020-09-21,8328
2615,70 - 74 años,F,2020-09-21,6237
2616,75 - 79 años,F,2020-09-21,4814
2617,80 y más años,F,2020-09-21,8440
2618,00 - 04 años,M,2020-09-25,5303
2619,05 - 09 años,M,2020-09-25,4538
2620,10 - 14 años,M,2020-09-25,5161
2621,15 - 19 años,M,2020-09-25,8356
2622,20 - 24 años,M,2020-09-25,19989
2623,25 - 29 años,M,2020-09-25,30820
2624,30 - 34 años,M,2020-09-25,31179
2625,35 - 39 años,M,2020-09-25,25525
2626,40 - 44 años,M,2020-09-25,21580
2627,45 - 49 años,M,2020-09-25,21182
2628,50 - 54 años,M,2020-09-25,20176
2629,55 - 59 años,M,2020-09-25,18976
2630,60 - 64 años,M,2020-09-25,14324
2631,65 - 69 años,M,2020-09-25,9167
2632,70 - 74 años,M,2020-09-25,6582
2633,75 - 79 años,M,2020-09-25,4550
2634,80 y más años,M,2020-09-25,5508
2635,00 - 04 años,F,2020-09-25,4896
2636,05 - 09 años,F,2020-09-25,4371
2637,10 - 14 años,F,2020-09-25,5382
2638,15 - 19 años,F,2020-09-25,9560
2639,20 - 24 años,F,2020-09-25,20435
2640,25 - 29 años,F,2020-09-25,30569
2641,30 - 34 años,F,2020-09-25,28596
2642,35 - 39 años,F,2020-09-25,22694
2643,40 - 44 años,F,2020-09-25,19304
2644,45 - 49 años,F,2020-09-25,19978
2645,50 - 54 años,F,2020-09-25,19145
2646,55 - 59 años,F,2020-09-25,17556
2647,60 - 64 años,F,2020-09-25,12653
2648,65 - 69 años,F,2020-09-25,8495
2649,70 - 74 años,F,2020-09-25,6339
2650,75 - 79 años,F,2020-09-25,4914
2651,80 y más años,F,2020-09-25,8609
2652,00 - 04 años,M,2020-09-28,5403
2653,05 - 09 años,M,2020-09-28,4644
2654,10 - 14 años,M,2020-09-28,5298
2655,15 - 19 años,M,2020-09-28,8535
2656,20 - 24 años,M,2020-09-28,20310
2657,25 - 29 años,M,2020-09-28,31216
2658,30 - 34 años,M,2020-09-28,31562
2659,35 - 39 años,M,2020-09-28,25828
2660,40 - 44 años,M,2020-09-28,21841
2661,45 - 49 años,M,2020-09-28,21425
2662,50 - 54 años,M,2020-09-28,20398
2663,55 - 59 años,M,2020-09-28,19226
2664,60 - 64 años,M,2020-09-28,14512
2665,65 - 69 años,M,2020-09-28,9282
2666,70 - 74 años,M,2020-09-28,6658
2667,75 - 79 años,M,2020-09-28,4617
2668,80 y más años,M,2020-09-28,5574
2669,00 - 04 años,F,2020-09-28,4995
2670,05 - 09 años,F,2020-09-28,4454
2671,10 - 14 años,F,2020-09-28,5530
2672,15 - 19 años,F,2020-09-28,9740
2673,20 - 24 años,F,2020-09-28,20787
2674,25 - 29 años,F,2020-09-28,30972
2675,30 - 34 años,F,2020-09-28,28957
2676,35 - 39 años,F,2020-09-28,23003
2677,40 - 44 años,F,2020-09-28,19573
2678,45 - 49 años,F,2020-09-28,20242
2679,50 - 54 años,F,2020-09-28,19415
2680,55 - 59 años,F,2020-09-28,17810
2681,60 - 64 años,F,2020-09-28,12822
2682,65 - 69 años,F,2020-09-28,8613
2683,70 - 74 años,F,2020-09-28,6449
2684,75 - 79 años,F,2020-09-28,4975
2685,80 y más años,F,2020-09-28,8729
2686,00 - 04 años,M,2020-10-02,5552
2687,05 - 09 años,M,2020-10-02,4762
2688,10 - 14 años,M,2020-10-02,5451
2689,15 - 19 años,M,2020-10-02,8727
2690,20 - 24 años,M,2020-10-02,20648
2691,25 - 29 años,M,2020-10-02,31711
2692,30 - 34 años,M,2020-10-02,32012
2693,35 - 39 años,M,2020-10-02,26170
2694,40 - 44 años,M,2020-10-02,22148
2695,45 - 49 años,M,2020-10-02,21740
2696,50 - 54 años,M,2020-10-02,20699
2697,55 - 59 años,M,2020-10-02,19514
2698,60 - 64 años,M,2020-10-02,14720
2699,65 - 69 años,M,2020-10-02,9462
2700,70 - 74 años,M,2020-10-02,6756
2701,75 - 79 años,M,2020-10-02,4688
2702,80 y más años,M,2020-10-02,5676
2703,00 - 04 años,F,2020-10-02,5098
2704,05 - 09 años,F,2020-10-02,4583
2705,10 - 14 años,F,2020-10-02,5716
2706,15 - 19 años,F,2020-10-02,9948
2707,20 - 24 años,F,2020-10-02,21184
2708,25 - 29 años,F,2020-10-02,31448
2709,30 - 34 años,F,2020-10-02,29398
2710,35 - 39 años,F,2020-10-02,23392
2711,40 - 44 años,F,2020-10-02,19868
2712,45 - 49 años,F,2020-10-02,20591
2713,50 - 54 años,F,2020-10-02,19705
2714,55 - 59 años,F,2020-10-02,18116
2715,60 - 64 años,F,2020-10-02,13035
2716,65 - 69 años,F,2020-10-02,8771
2717,70 - 74 años,F,2020-10-02,6563
2718,75 - 79 años,F,2020-10-02,5063
2719,80 y más años,F,2020-10-02,8867
2720,00 - 04 años,M,2020-10-05,5552
2721,05 - 09 años,M,2020-10-05,4762
2722,10 - 14 años,M,2020-10-05,5451
2723,15 - 19 años,M,2020-10-05,8727
2724,20 - 24 años,M,2020-10-05,20648
2725,25 - 29 años,M,2020-10-05,31711
2726,30 - 34 años,M,2020-10-05,32012
2727,35 - 39 años,M,2020-10-05,26170
2728,40 - 44 años,M,2020-10-05,22148
2729,45 - 49 años,M,2020-10-05,21740
2730,50 - 54 años,M,2020-10-05,20699
2731,55 - 59 años,M,2020-10-05,19514
2732,60 - 64 años,M,2020-10-05,14720
2733,65 - 69 años,M,2020-10-05,9462
2734,70 - 74 años,M,2020-10-05,6756
2735,75 - 79 años,M,2020-10-05,4688
2736,80 y más años,M,2020-10-05,5676
2737,00 - 04 años,F,2020-10-05,5098
2738,05 - 09 años,F,2020-10-05,4583
2739,10 - 14 años,F,2020-10-05,5716
2740,15 - 19 años,F,2020-10-05,9948
2741,20 - 24 años,F,2020-10-05,21184
2742,25 - 29 años,F,2020-10-05,31448
2743,30 - 34 años,F,2020-10-05,29398
2744,35 - 39 años,F,2020-10-05,23392
2745,40 - 44 años,F,2020-10-05,19868
2746,45 - 49 años,F,2020-10-05,20591
2747,50 - 54 años,F,2020-10-05,19705
2748,55 - 59 años,F,2020-10-05,18116
2749,60 - 64 años,F,2020-10-05,13035
2750,65 - 69 años,F,2020-10-05,8771
2751,70 - 74 años,F,2020-10-05,6563
2752,75 - 79 años,F,2020-10-05,5063
2753,80 y más años,F,2020-10-05,8867
2754,00 - 04 años,M,2020-10-09,5733
2755,05 - 09 años,M,2020-10-09,4996
2756,10 - 14 años,M,2020-10-09,5674
2757,15 - 19 años,M,2020-10-09,9161
2758,20 - 24 años,M,2020-10-09,21188
2759,25 - 29 años,M,2020-10-09,32428
2760,30 - 34 años,M,2020-10-09,32709
2761,35 - 39 años,M,2020-10-09,26726
2762,40 - 44 años,M,2020-10-09,22667
2763,45 - 49 años,M,2020-10-09,22173
2764,50 - 54 años,M,2020-10-09,21201
2765,55 - 59 años,M,2020-10-09,19929
2766,60 - 64 años,M,2020-10-09,15066
2767,65 - 69 años,M,2020-10-09,9701
2768,70 - 74 años,M,2020-10-09,6921
2769,75 - 79 años,M,2020-10-09,4794
2770,80 y más años,M,2020-10-09,5850
2771,00 - 04 años,F,2020-10-09,5283
2772,05 - 09 años,F,2020-10-09,4766
2773,10 - 14 años,F,2020-10-09,5944
2774,15 - 19 años,F,2020-10-09,10330
2775,20 - 24 años,F,2020-10-09,21742
2776,25 - 29 años,F,2020-10-09,32178
2777,30 - 34 años,F,2020-10-09,30064
2778,35 - 39 años,F,2020-10-09,23921
2779,40 - 44 años,F,2020-10-09,20343
2780,45 - 49 años,F,2020-10-09,21093
2781,50 - 54 años,F,2020-10-09,20164
2782,55 - 59 años,F,2020-10-09,18546
2783,60 - 64 años,F,2020-10-09,13373
2784,65 - 69 años,F,2020-10-09,9010
2785,70 - 74 años,F,2020-10-09,6731
2786,75 - 79 años,F,2020-10-09,5219
2787,80 y más años,F,2020-10-09,9160
2788,00 - 04 años,M,2020-10-12,5823
2789,05 - 09 años,M,2020-10-12,5075
2790,10 - 14 años,M,2020-10-12,5776
2791,15 - 19 años,M,2020-10-12,9319
2792,20 - 24 años,M,2020-10-12,21440
2793,25 - 29 años,M,2020-10-12,32763
2794,30 - 34 años,M,2020-10-12,32979
2795,35 - 39 años,M,2020-10-12,27004
2796,40 - 44 años,M,2020-10-12,22906
2797,45 - 49 años,M,2020-10-12,22372
2798,50 - 54 años,M,2020-10-12,21397
2799,55 - 59 años,M,2020-10-12,20144
2800,60 - 64 años,M,2020-10-12,15210
2801,65 - 69 años,M,2020-10-12,9798
2802,70 - 74 años,M,2020-10-12,6996
2803,75 - 79 años,M,2020-10-12,4851
2804,80 y más años,M,2020-10-12,5915
2805,00 - 04 años,F,2020-10-12,5368
2806,05 - 09 años,F,2020-10-12,4849
2807,10 - 14 años,F,2020-10-12,6032
2808,15 - 19 años,F,2020-10-12,10499
2809,20 - 24 años,F,2020-10-12,22011
2810,25 - 29 años,F,2020-10-12,32543
2811,30 - 34 años,F,2020-10-12,30395
2812,35 - 39 años,F,2020-10-12,24173
2813,40 - 44 años,F,2020-10-12,20535
2814,45 - 49 años,F,2020-10-12,21319
2815,50 - 54 años,F,2020-10-12,20377
2816,55 - 59 años,F,2020-10-12,18723
2817,60 - 64 años,F,2020-10-12,13532
2818,65 - 69 años,F,2020-10-12,9116
2819,70 - 74 años,F,2020-10-12,6828
2820,75 - 79 años,F,2020-10-12,5286
2821,80 y más años,F,2020-10-12,9237
2822,00 - 04 años,M,2020-10-16,5913
2823,05 - 09 años,M,2020-10-16,5175
2824,10 - 14 años,M,2020-10-16,5880
2825,15 - 19 años,M,2020-10-16,9486
2826,20 - 24 años,M,2020-10-16,21703
2827,25 - 29 años,M,2020-10-16,33111
2828,30 - 34 años,M,2020-10-16,33315
2829,35 - 39 años,M,2020-10-16,27274
2830,40 - 44 años,M,2020-10-16,23142
2831,45 - 49 años,M,2020-10-16,22618
2832,50 - 54 años,M,2020-10-16,21624
2833,55 - 59 años,M,2020-10-16,20366
2834,60 - 64 años,M,2020-10-16,15373
2835,65 - 69 años,M,2020-10-16,9897
2836,70 - 74 años,M,2020-10-16,7090
2837,75 - 79 años,M,2020-10-16,4911
2838,80 y más años,M,2020-10-16,5980
2839,00 - 04 años,F,2020-10-16,5444
2840,05 - 09 años,F,2020-10-16,4926
2841,10 - 14 años,F,2020-10-16,6151
2842,15 - 19 años,F,2020-10-16,10686
2843,20 - 24 años,F,2020-10-16,22290
2844,25 - 29 años,F,2020-10-16,32929
2845,30 - 34 años,F,2020-10-16,30753
2846,35 - 39 años,F,2020-10-16,24432
2847,40 - 44 años,F,2020-10-16,20781
2848,45 - 49 años,F,2020-10-16,21557
2849,50 - 54 años,F,2020-10-16,20607
2850,55 - 59 años,F,2020-10-16,18954
2851,60 - 64 años,F,2020-10-16,13673
2852,65 - 69 años,F,2020-10-16,9227
2853,70 - 74 años,F,2020-10-16,6893
2854,75 - 79 años,F,2020-10-16,5349
2855,80 y más años,F,2020-10-16,9343
2856,00 - 04 años,M,2020-10-19,6003
2857,05 - 09 años,M,2020-10-19,5258
2858,10 - 14 años,M,2020-10-19,5987
2859,15 - 19 años,M,2020-10-19,9619
2860,20 - 24 años,M,2020-10-19,21929
2861,25 - 29 años,M,2020-10-19,33449
2862,30 - 34 años,M,2020-10-19,33654
2863,35 - 39 años,M,2020-10-19,27544
2864,40 - 44 años,M,2020-10-19,23384
2865,45 - 49 años,M,2020-10-19,22853
2866,50 - 54 años,M,2020-10-19,21811
2867,55 - 59 años,M,2020-10-19,20550
2868,60 - 64 años,M,2020-10-19,15511
2869,65 - 69 años,M,2020-10-19,10033
2870,70 - 74 años,M,2020-10-19,7161
2871,75 - 79 años,M,2020-10-19,4974
2872,80 y más años,M,2020-10-19,6052
2873,00 - 04 años,F,2020-10-19,5527
2874,05 - 09 años,F,2020-10-19,5009
2875,10 - 14 años,F,2020-10-19,6250
2876,15 - 19 años,F,2020-10-19,10832
2877,20 - 24 años,F,2020-10-19,22538
2878,25 - 29 años,F,2020-10-19,33268
2879,30 - 34 años,F,2020-10-19,31045
2880,35 - 39 años,F,2020-10-19,24703
2881,40 - 44 años,F,2020-10-19,20985
2882,45 - 49 años,F,2020-10-19,21796
2883,50 - 54 años,F,2020-10-19,20839
2884,55 - 59 años,F,2020-10-19,19141
2885,60 - 64 años,F,2020-10-19,13824
2886,65 - 69 años,F,2020-10-19,9343
2887,70 - 74 años,F,2020-10-19,7002
2888,75 - 79 años,F,2020-10-19,5421
2889,80 y más años,F,2020-10-19,9447
2890,00 - 04 años,M,2020-10-24,6143
2891,05 - 09 años,M,2020-10-24,5384
2892,10 - 14 años,M,2020-10-24,6142
2893,15 - 19 años,M,2020-10-24,9842
2894,20 - 24 años,M,2020-10-24,22273
2895,25 - 29 años,M,2020-10-24,33949
2896,30 - 34 años,M,2020-10-24,34133
2897,35 - 39 años,M,2020-10-24,27941
2898,40 - 44 años,M,2020-10-24,23714
2899,45 - 49 años,M,2020-10-24,23197
2900,50 - 54 años,M,2020-10-24,22090
2901,55 - 59 años,M,2020-10-24,20846
2902,60 - 64 años,M,2020-10-24,15746
2903,65 - 69 años,M,2020-10-24,10195
2904,70 - 74 años,M,2020-10-24,7264
2905,75 - 79 años,M,2020-10-24,5050
2906,80 y más años,M,2020-10-24,6155
2907,00 - 04 años,F,2020-10-24,5644
2908,05 - 09 años,F,2020-10-24,5131
2909,10 - 14 años,F,2020-10-24,6402
2910,15 - 19 años,F,2020-10-24,11055
2911,20 - 24 años,F,2020-10-24,22933
2912,25 - 29 años,F,2020-10-24,33782
2913,30 - 34 años,F,2020-10-24,31528
2914,35 - 39 años,F,2020-10-24,25094
2915,40 - 44 años,F,2020-10-24,21334
2916,45 - 49 años,F,2020-10-24,22125
2917,50 - 54 años,F,2020-10-24,21181
2918,55 - 59 años,F,2020-10-24,19487
2919,60 - 64 años,F,2020-10-24,14087
2920,65 - 69 años,F,2020-10-24,9514
2921,70 - 74 años,F,2020-10-24,7121
2922,75 - 79 años,F,2020-10-24,5512
2923,80 y más años,F,2020-10-24,9581
2924,00 - 04 años,M,2020-10-26,6196
2925,05 - 09 años,M,2020-10-26,5429
2926,10 - 14 años,M,2020-10-26,6197
2927,15 - 19 años,M,2020-10-26,9942
2928,20 - 24 años,M,2020-10-26,22430
2929,25 - 29 años,M,2020-10-26,34141
2930,30 - 34 años,M,2020-10-26,34338
2931,35 - 39 años,M,2020-10-26,28085
2932,40 - 44 años,M,2020-10-26,23842
2933,45 - 49 años,M,2020-10-26,23317
2934,50 - 54 años,M,2020-10-26,22206
2935,55 - 59 años,M,2020-10-26,20947
2936,60 - 64 años,M,2020-10-26,15838
2937,65 - 69 años,M,2020-10-26,10250
2938,70 - 74 años,M,2020-10-26,7305
2939,75 - 79 años,M,2020-10-26,5085
2940,80 y más años,M,2020-10-26,6188
2941,00 - 04 años,F,2020-10-26,5681
2942,05 - 09 años,F,2020-10-26,5177
2943,10 - 14 años,F,2020-10-26,6465
2944,15 - 19 años,F,2020-10-26,11147
2945,20 - 24 años,F,2020-10-26,23113
2946,25 - 29 años,F,2020-10-26,33992
2947,30 - 34 años,F,2020-10-26,31735
2948,35 - 39 años,F,2020-10-26,25243
2949,40 - 44 años,F,2020-10-26,21459
2950,45 - 49 años,F,2020-10-26,22273
2951,50 - 54 años,F,2020-10-26,21296
2952,55 - 59 años,F,2020-10-26,19610
2953,60 - 64 años,F,2020-10-26,14180
2954,65 - 69 años,F,2020-10-26,9573
2955,70 - 74 años,F,2020-10-26,7169
2956,75 - 79 años,F,2020-10-26,5542
2957,80 y más años,F,2020-10-26,9628
2958,00 - 04 años,M,2020-10-30,6290
2959,05 - 09 años,M,2020-10-30,5535
2960,10 - 14 años,M,2020-10-30,6300
2961,15 - 19 años,M,2020-10-30,10076
2962,20 - 24 años,M,2020-10-30,22706
2963,25 - 29 años,M,2020-10-30,34499
2964,30 - 34 años,M,2020-10-30,34663
2965,35 - 39 años,M,2020-10-30,28373
2966,40 - 44 años,M,2020-10-30,24073
2967,45 - 49 años,M,2020-10-30,23540
2968,50 - 54 años,M,2020-10-30,22431
2969,55 - 59 años,M,2020-10-30,21153
2970,60 - 64 años,M,2020-10-30,15982
2971,65 - 69 años,M,2020-10-30,10361
2972,70 - 74 años,M,2020-10-30,7372
2973,75 - 79 años,M,2020-10-30,5153
2974,80 y más años,M,2020-10-30,6251
2975,00 - 04 años,F,2020-10-30,5765
2976,05 - 09 años,F,2020-10-30,5277
2977,10 - 14 años,F,2020-10-30,6570
2978,15 - 19 años,F,2020-10-30,11303
2979,20 - 24 años,F,2020-10-30,23416
2980,25 - 29 años,F,2020-10-30,34372
2981,30 - 34 años,F,2020-10-30,32082
2982,35 - 39 años,F,2020-10-30,25530
2983,40 - 44 años,F,2020-10-30,21671
2984,45 - 49 años,F,2020-10-30,22514
2985,50 - 54 años,F,2020-10-30,21523
2986,55 - 59 años,F,2020-10-30,19816
2987,60 - 64 años,F,2020-10-30,14332
2988,65 - 69 años,F,2020-10-30,9673
2989,70 - 74 años,F,2020-10-30,7241
2990,75 - 79 años,F,2020-10-30,5607
2991,80 y más años,F,2020-10-30,9702
2992,00 - 04 años,M,2020-11-02,6361
2993,05 - 09 años,M,2020-11-02,5619
2994,10 - 14 años,M,2020-11-02,6397
2995,15 - 19 años,M,2020-11-02,10217
2996,20 - 24 años,M,2020-11-02,22927
2997,25 - 29 años,M,2020-11-02,34754
2998,30 - 34 años,M,2020-11-02,34923
2999,35 - 39 años,M,2020-11-02,28608
3000,40 - 44 años,M,2020-11-02,24243
3001,45 - 49 años,M,2020-11-02,23737
3002,50 - 54 años,M,2020-11-02,22611
3003,55 - 59 años,M,2020-11-02,21334
3004,60 - 64 años,M,2020-11-02,16125
3005,65 - 69 años,M,2020-11-02,10449
3006,70 - 74 años,M,2020-11-02,7451
3007,75 - 79 años,M,2020-11-02,5207
3008,80 y más años,M,2020-11-02,6322
3009,00 - 04 años,F,2020-11-02,5830
3010,05 - 09 años,F,2020-11-02,5370
3011,10 - 14 años,F,2020-11-02,6667
3012,15 - 19 años,F,2020-11-02,11467
3013,20 - 24 años,F,2020-11-02,23679
3014,25 - 29 años,F,2020-11-02,34653
3015,30 - 34 años,F,2020-11-02,32388
3016,35 - 39 años,F,2020-11-02,25772
3017,40 - 44 años,F,2020-11-02,21882
3018,45 - 49 años,F,2020-11-02,22728
3019,50 - 54 años,F,2020-11-02,21736
3020,55 - 59 años,F,2020-11-02,19992
3021,60 - 64 años,F,2020-11-02,14481
3022,65 - 69 años,F,2020-11-02,9782
3023,70 - 74 años,F,2020-11-02,7318
3024,75 - 79 años,F,2020-11-02,5673
3025,80 y más años,F,2020-11-02,9812
3026,00 - 04 años,M,2020-11-06,6458
3027,05 - 09 años,M,2020-11-06,5698
3028,10 - 14 años,M,2020-11-06,6492
3029,15 - 19 años,M,2020-11-06,10363
3030,20 - 24 años,M,2020-11-06,23201
3031,25 - 29 años,M,2020-11-06,35118
3032,30 - 34 años,M,2020-11-06,35294
3033,35 - 39 años,M,2020-11-06,28915
3034,40 - 44 años,M,2020-11-06,24451
3035,45 - 49 años,M,2020-11-06,23951
3036,50 - 54 años,M,2020-11-06,22829
3037,55 - 59 años,M,2020-11-06,21545
3038,60 - 64 años,M,2020-11-06,16288
3039,65 - 69 años,M,2020-11-06,10570
3040,70 - 74 años,M,2020-11-06,7546
3041,75 - 79 años,M,2020-11-06,5249
3042,80 y más años,M,2020-11-06,6399
3043,00 - 04 años,F,2020-11-06,5911
3044,05 - 09 años,F,2020-11-06,5444
3045,10 - 14 años,F,2020-11-06,6779
3046,15 - 19 años,F,2020-11-06,11651
3047,20 - 24 años,F,2020-11-06,23958
3048,25 - 29 años,F,2020-11-06,34989
3049,30 - 34 años,F,2020-11-06,32720
3050,35 - 39 años,F,2020-11-06,26027
3051,40 - 44 años,F,2020-11-06,22090
3052,45 - 49 años,F,2020-11-06,22943
3053,50 - 54 años,F,2020-11-06,21961
3054,55 - 59 años,F,2020-11-06,20195
3055,60 - 64 años,F,2020-11-06,14639
3056,65 - 69 años,F,2020-11-06,9897
3057,70 - 74 años,F,2020-11-06,7419
3058,75 - 79 años,F,2020-11-06,5747
3059,80 y más años,F,2020-11-06,9927
3060,00 - 04 años,M,2020-11-09,6535
3061,05 - 09 años,M,2020-11-09,5767
3062,10 - 14 años,M,2020-11-09,6581
3063,15 - 19 años,M,2020-11-09,10495
3064,20 - 24 años,M,2020-11-09,23433
3065,25 - 29 años,M,2020-11-09,35402
3066,30 - 34 años,M,2020-11-09,35577
3067,35 - 39 años,M,2020-11-09,29150
3068,40 - 44 años,M,2020-11-09,24645
3069,45 - 49 años,M,2020-11-09,24150
3070,50 - 54 años,M,2020-11-09,23007
3071,55 - 59 años,M,2020-11-09,21732
3072,60 - 64 años,M,2020-11-09,16423
3073,65 - 69 años,M,2020-11-09,10667
3074,70 - 74 años,M,2020-11-09,7603
